geometry
"POLYGON ((41.138636702 -8.6496101, 41.138636702 -8.648903802, 41.139343 -8.648903802, 41.139343 -8.6496101, 41.138636702 -8.6496101))"
"POLYGON ((41.138636702 -8.648903802, 41.138636702 -8.648197503999999, 41.139343 -8.648197503999999, 41.139343 -8.648903802, 41.138636702 -8.648903802))"
"POLYGON ((41.138636702 -8.648197503999999, 41.138636702 -8.647491205999998, 41.139343 -8.647491205999998, 41.139343 -8.648197503999999, 41.138636702 -8.648197503999999))"
"POLYGON ((41.138636702 -8.647491205999998, 41.138636702 -8.646784907999997, 41.139343 -8.646784907999997, 41.139343 -8.647491205999998, 41.138636702 -8.647491205999998))"
"POLYGON ((41.138636702 -8.646784907999997, 41.138636702 -8.646078609999996, 41.139343 -8.646078609999996, 41.139343 -8.646784907999997, 41.138636702 -8.646784907999997))"
"POLYGON ((41.138636702 -8.646078609999996, 41.138636702 -8.645372311999996, 41.139343 -8.645372311999996, 41.139343 -8.646078609999996, 41.138636702 -8.646078609999996))"
"POLYGON ((41.138636702 -8.645372311999996, 41.138636702 -8.644666013999995, 41.139343 -8.644666013999995, 41.139343 -8.645372311999996, 41.138636702 -8.645372311999996))"
"POLYGON ((41.138636702 -8.644666013999995, 41.138636702 -8.643959715999994, 41.139343 -8.643959715999994, 41.139343 -8.644666013999995, 41.138636702 -8.644666013999995))"
"POLYGON ((41.138636702 -8.643959715999994, 41.138636702 -8.643253417999993, 41.139343 -8.643253417999993, 41.139343 -8.643959715999994, 41.138636702 -8.643959715999994))"
"POLYGON ((41.138636702 -8.643253417999993, 41.138636702 -8.642547119999993, 41.139343 -8.642547119999993, 41.139343 -8.643253417999993, 41.138636702 -8.643253417999993))"
"POLYGON ((41.138636702 -8.642547119999993, 41.138636702 -8.641840821999992, 41.139343 -8.641840821999992, 41.139343 -8.642547119999993, 41.138636702 -8.642547119999993))"
"POLYGON ((41.138636702 -8.641840821999992, 41.138636702 -8.641134523999991, 41.139343 -8.641134523999991, 41.139343 -8.641840821999992, 41.138636702 -8.641840821999992))"
"POLYGON ((41.138636702 -8.641134523999991, 41.138636702 -8.64042822599999, 41.139343 -8.64042822599999, 41.139343 -8.641134523999991, 41.138636702 -8.641134523999991))"
"POLYGON ((41.138636702 -8.64042822599999, 41.138636702 -8.63972192799999, 41.139343 -8.63972192799999, 41.139343 -8.64042822599999, 41.138636702 -8.64042822599999))"
"POLYGON ((41.138636702 -8.63972192799999, 41.138636702 -8.639015629999989, 41.139343 -8.639015629999989, 41.139343 -8.63972192799999, 41.138636702 -8.63972192799999))"
"POLYGON ((41.138636702 -8.639015629999989, 41.138636702 -8.638309331999988, 41.139343 -8.638309331999988, 41.139343 -8.639015629999989, 41.138636702 -8.639015629999989))"
"POLYGON ((41.138636702 -8.638309331999988, 41.138636702 -8.637603033999987, 41.139343 -8.637603033999987, 41.139343 -8.638309331999988, 41.138636702 -8.638309331999988))"
"POLYGON ((41.138636702 -8.637603033999987, 41.138636702 -8.636896735999986, 41.139343 -8.636896735999986, 41.139343 -8.637603033999987, 41.138636702 -8.637603033999987))"
"POLYGON ((41.138636702 -8.636896735999986, 41.138636702 -8.636190437999986, 41.139343 -8.636190437999986, 41.139343 -8.636896735999986, 41.138636702 -8.636896735999986))"
"POLYGON ((41.138636702 -8.636190437999986, 41.138636702 -8.635484139999985, 41.139343 -8.635484139999985, 41.139343 -8.636190437999986, 41.138636702 -8.636190437999986))"
"POLYGON ((41.138636702 -8.635484139999985, 41.138636702 -8.634777841999984, 41.139343 -8.634777841999984, 41.139343 -8.635484139999985, 41.138636702 -8.635484139999985))"
"POLYGON ((41.138636702 -8.634777841999984, 41.138636702 -8.634071543999983, 41.139343 -8.634071543999983, 41.139343 -8.634777841999984, 41.138636702 -8.634777841999984))"
"POLYGON ((41.138636702 -8.634071543999983, 41.138636702 -8.633365245999983, 41.139343 -8.633365245999983, 41.139343 -8.634071543999983, 41.138636702 -8.634071543999983))"
"POLYGON ((41.138636702 -8.633365245999983, 41.138636702 -8.632658947999982, 41.139343 -8.632658947999982, 41.139343 -8.633365245999983, 41.138636702 -8.633365245999983))"
"POLYGON ((41.138636702 -8.632658947999982, 41.138636702 -8.631952649999981, 41.139343 -8.631952649999981, 41.139343 -8.632658947999982, 41.138636702 -8.632658947999982))"
"POLYGON ((41.138636702 -8.631952649999981, 41.138636702 -8.63124635199998, 41.139343 -8.63124635199998, 41.139343 -8.631952649999981, 41.138636702 -8.631952649999981))"
"POLYGON ((41.138636702 -8.63124635199998, 41.138636702 -8.63054005399998, 41.139343 -8.63054005399998, 41.139343 -8.63124635199998, 41.138636702 -8.63124635199998))"
"POLYGON ((41.138636702 -8.63054005399998, 41.138636702 -8.629833755999979, 41.139343 -8.629833755999979, 41.139343 -8.63054005399998, 41.138636702 -8.63054005399998))"
"POLYGON ((41.138636702 -8.629833755999979, 41.138636702 -8.629127457999978, 41.139343 -8.629127457999978, 41.139343 -8.629833755999979, 41.138636702 -8.629833755999979))"
"POLYGON ((41.138636702 -8.629127457999978, 41.138636702 -8.628421159999977, 41.139343 -8.628421159999977, 41.139343 -8.629127457999978, 41.138636702 -8.629127457999978))"
"POLYGON ((41.138636702 -8.628421159999977, 41.138636702 -8.627714861999976, 41.139343 -8.627714861999976, 41.139343 -8.628421159999977, 41.138636702 -8.628421159999977))"
"POLYGON ((41.138636702 -8.627714861999976, 41.138636702 -8.627008563999976, 41.139343 -8.627008563999976, 41.139343 -8.627714861999976, 41.138636702 -8.627714861999976))"
"POLYGON ((41.138636702 -8.627008563999976, 41.138636702 -8.626302265999975, 41.139343 -8.626302265999975, 41.139343 -8.627008563999976, 41.138636702 -8.627008563999976))"
"POLYGON ((41.138636702 -8.626302265999975, 41.138636702 -8.625595967999974, 41.139343 -8.625595967999974, 41.139343 -8.626302265999975, 41.138636702 -8.626302265999975))"
"POLYGON ((41.138636702 -8.625595967999974, 41.138636702 -8.624889669999973, 41.139343 -8.624889669999973, 41.139343 -8.625595967999974, 41.138636702 -8.625595967999974))"
"POLYGON ((41.138636702 -8.624889669999973, 41.138636702 -8.624183371999973, 41.139343 -8.624183371999973, 41.139343 -8.624889669999973, 41.138636702 -8.624889669999973))"
"POLYGON ((41.138636702 -8.624183371999973, 41.138636702 -8.623477073999972, 41.139343 -8.623477073999972, 41.139343 -8.624183371999973, 41.138636702 -8.624183371999973))"
"POLYGON ((41.138636702 -8.623477073999972, 41.138636702 -8.622770775999971, 41.139343 -8.622770775999971, 41.139343 -8.623477073999972, 41.138636702 -8.623477073999972))"
